tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
House,Montgeron (91),809900,204,4,1,By Stéphane Plaza Immobilier Montgeron
House with terrace,Hyeres (83),799200,175,5,1,By Espaces Atypiques Toulon
House,Ingersheim (68),592900,241,6,coerce,By Christelle Clauss Immobilier Colmar
House,Kaysersberg (68),345500,145,3,1,By Christelle Clauss Immobilier Colmar
House,Parmain (95),948300,155,4,coerce,By Espaces Atypiques Val D&#39;oise
House with pool,Bordeaux (33),1080000,180,3,1,By Architectures Bordeaux
House with pool and terrace,Forcalquier (04),743100,134,3,coerce,By Orpi - Agence Mylene Murano
House with terrace,Deuil-la-Barre (95),421200,110,2,1,By Les Cercles
House,Saint-Pierre-d'Oléron (17),453600,103,2,coerce,By Espaces Atypiques La Rochelle
House with terrace,Royan (17),432000,87,coerce,coerce,By Espaces Atypiques La Rochelle
House with pool and garden,Mons (83),858600,175,3,1,By Espaces Atypiques Saint-tropez
House with pool and terrace,Plan-de-la-Tour (83),918000,101,6,coerce,By Espaces Atypiques Saint-tropez
House with pool,Saint-raphael (83),966600,190,5,coerce,By Espaces Atypiques Saint-tropez
House with pool,Châteauneuf-en-Thymerais (28),486000,220,5,coerce,By Agence Camilotto
House,Nogent-le-Roi (28),319700,150,4,1,By Agence Camilotto
Villa with pool and terrace,Saint-raphael (83),884500,109,2,coerce,By Canat &amp; Warton - Saint-raphaël
House with pool,Angers (49),961200,201,5,1,By Espaces Atypiques
House,Tiercé (49),469800,138,4,1,By Espaces Atypiques
House with terrace,Clisson (44),1017900,257,5,1,By Espaces Atypiques Nantes
House,Plestin-les-greves (22),317500,70,3,1,By Cote Mer Cote Jardin Immobilier
House,Ploufragan (22),485800,152,6,coerce,By Plerin Immobilier
Villa with pool and terrace,Saint-raphael (83),1026000,182,4,coerce,By Orpi - Valescure Immobilier
House with terrace,Corps-Nuds (35),284600,101,3,1,By Ajp Immobilier
House,Le Bouscat (33),793800,150,3,coerce,By Ajp Immobilier
House with pool and terrace,Andernos-les-Bains (33),1009800,145,6,1,By Ajp Immobilier
House,Pontchâteau (44),322400,105,4,1,By Ajp Immobilier
